content,date
"It's good but I'm not comfortable with its size at all 
I wish i got the pro max but it's expensive to me",2025-12-24
4:39 proof xD,2025-12-24
"I upgraded from XS Max to iPhone 17. 3 weeks of using it. 
I don't know if getting 16 Pro is way better or iPhone 17. They're basically the same price here in my country in 256gb with low cc count
Any thoughts if 16 pro is better? I like Portrait mode",2025-12-24
I have an iPhone 11 Pro Max 256 other than getting a new $99 battery from Apple. It still is perfect. I don’t see anything wrong with it.,2025-12-24
1:54 Trust me yall are not missing out on apple intelligence,2025-12-24
Hi recently purchased iPhone 17 and after 32 cycle counts my battery health reduced to 99% and my battery charging limit is up to 80.,2025-12-24
17 still lacks in battery life and no telephoto camera. Even the Air lasts longer than the base 17.,2025-12-24
I love my orange 17 Pro Max.,2025-12-24
im still rocking an iphone 6s plus with horrible battery life (68%),2025-12-24
Watching this from my iPhone 17 black  coming from a 13 base green,2025-12-24
What a great and refreshing way to start the topic.. great work,2025-12-24
i too upgraded from 13 to 17,2025-12-24
Google Pixel sadly has way worse Price-Performance right now,2025-12-24
"It's worth uprigade at every angle from 13 to 17 ,currently  using 13PM am  with 77BH looking forward on S26U then i'll decide either 17PM au S26U",2025-12-24
"I agree that the iPhone 13 lacks several features, which is understandable. However, if the iPhone 13 doesn’t meet your expectations, it’s time to consider replacing it.",2025-12-24
"How the heck are 3 months ""long term""?",2025-12-24
People with ADHD would notice and love it,2025-12-24
"interesting comparison, thanks. just a small thing, but if you pay for applecare for your phone, it's worth getting the battery replaced when it has seriously degraded. costs nothing and is an easy way to utilise all those monthly direct debit payments for the policy. i did it with my 13 mini and it totally gave the phone a new lease of life for an extra ~1.5 years. i think in most people's phone life-cycle, that's a respectable extension!",2025-12-24
I got the XR to broke for another phone,2025-12-24
