content,date,cleaned_content,clean_content,sentiment
"Yep I have the 13 Mini!, 256GB. You are incorrect about 17 vs 17 pro sales, 17 pro huge",2025-12-24,yep mini gb incorrect v pro sale pro huge,yep mini gb incorrect v pro sale pro huge,Positive
I NEVER SEE PEOPLE COMING FROM PRO MAX TO JUST A PRO,2025-12-24,never see people coming pro max pro,never see people coming pro max pro,Neutral
9:05 why do u have racist reels,2025-12-24,u racist reel,u racist reel,Neutral
I’m upgrading to this from an iPhone 12 my iPhone 12 has shat itself,2025-12-24,im upgrading iphone iphone shat,im upgrading iphone iphone shat,Neutral
1:20 me on an iphone 8 plus in 2025... ‍️,2025-12-24,iphone plus,iphone plus,Neutral
Better give that cat a treat for every like or imma go to your house and steal all your Oreos,2025-12-24,better give cat treat every like imma go house steal oreo,better give cat treat every like imma go house steal oreo,Positive
I hadn't seen a video from you in over a year and this popped up,2025-12-24,hadnt seen video year popped,hadnt seen video year popped,Neutral
"In may this year I got a used iPhone 15 and ditched my iPhone 12 mini (that I also had gotten used), but the orange 17 pro is the first iPhone I really really wanted, and I wanted it new so it became my first ever new iphone, so funny when it seems this is the time everyone else is skipping the pro",2025-12-24,may year got used iphone ditched iphone mini also gotten used orange pro first iphone really really wanted wanted new became first ever new iphone funny seems time everyone else skipping pro,may year got used iphone ditched iphone mini also gotten used orange pro first iphone really really wanted wanted new became first ever new iphone funny seems time everyone else skipping pro,Positive
"Im using a Samsung a15  its horrible and the screen is half broken, if i was to upgrade id def go for the 17 base model it looks very clean.",2025-12-24,im using samsung horrible screen half broken upgrade id def go base model look clean,im using samsung horrible screen half broken upgrade id def go base model look clean,Negative
What sort of SOT?,2025-12-24,sort sot,sort sot,Neutral
"Currently switching from my 13 mini to an iPhone 17. I hate that I will have to deal with a bigger phone, but my phone was lagging and dying two times a day.",2025-12-24,currently switching mini iphone hate deal bigger phone phone lagging dying two time day,currently switching mini iphone hate deal bigger phone phone lagging dying two time day,Negative
"lest be honest, battery is still shit and not enough",2025-12-24,lest honest battery still shit enough,lest honest battery still shit enough,Positive
Watching this using my iPhone 11,2025-12-24,watching using iphone,watching using iphone,Neutral
I went from the 13 pro max to the 17 today and I’m already enjoying not having an ipad in my pocket anymore,2025-12-24,went pro max today im already enjoying ipad pocket anymore,went pro max today im already enjoying ipad pocket anymore,Positive
Got the pro anyways just because the orange is so sick idc,2025-12-24,got pro anyways orange sick idc,got pro anyways orange sick idc,Negative
"If I’m on an 11, should I update to the 17 or save some money and get a 16?",2025-12-24,im update save money get,im update save money get,Neutral
Why did you get the black iPhone 17 when you had a white iPhone 13?,2025-12-24,get black iphone white iphone,get black iphone white iphone,Neutral
you are really handsome,2025-12-24,really handsome,really handsome,Positive
"The amount of hype round this phone has meant there haven’t been any discounts on this base model this season , 16 base last year had plenty of discounts last year by this point",2025-12-24,amount hype round phone meant havent discount base model season base last year plenty discount last year point,amount hype round phone meant havent discount base model season base last year plenty discount last year point,Negative
"Good summary. 13 mini user here. I'm still happy, or at least I was until Apple forced iOS 26 on me. We'll see how that goes. I charge it on a magsafe stand overnight or magsafe in the car, so 15W / lightning really aren't a huge deal, it lasts me well enough. I use an iPad for a lot of things, so the phone doesn't get used a ton, certainly not doom scrolling. I have a small magsafe battery from baseus which can fully charge it in a pinch, and that's in my bag just in case, but I've only needed it once. I really don't care about Apple Intelligence today, maybe if that gets better, but I'm not holding my breath. I'd like better cameras, and a better display wouldn't hurt. Useful Siri would probably clinch the deal. But I love the mini form factor, I'm really not looking forward to carrying a bigger/heavier phone. My next iPhone will likely be the 17, the improvements over the 16 are compelling.",2025-12-24,good summary mini user im still happy least apple forced io well see go charge magsafe stand overnight magsafe car w lightning really arent huge deal last well enough use ipad lot thing phone doesnt get used ton certainly doom scrolling small magsafe battery baseus fully charge pinch thats bag case ive needed really dont care apple intelligence today maybe get better im holding breath id like better camera better display wouldnt hurt useful siri would probably clinch deal love mini form factor im really looking forward carrying biggerheavier phone next iphone likely improvement compelling,good summary mini user im still happy least apple forced io well see go charge magsafe stand overnight magsafe car w lightning really arent huge deal last well enough use ipad lot thing phone doesnt get used ton certainly doom scrolling small magsafe battery baseus fully charge pinch thats bag case ive needed really dont care apple intelligence today maybe get better im holding breath id like better camera better display wouldnt hurt useful siri would probably clinch deal love mini form factor im really looking forward carrying biggerheavier phone next iphone likely improvement compelling,Positive
From 11 pro to 17 and I already love it,2025-12-24,pro already love,pro already love,Positive
"I switched to 17 from 12 ProMax , no regrets.",2025-12-24,switched promax regret,switched promax regret,Neutral
wild that the iphone 13 is what you’re comparing it to. It’s a bit laggy now and lowkey stressful for everyday use. I think it’s upgrade time.,2025-12-24,wild iphone youre comparing bit laggy lowkey stressful everyday use think upgrade time,wild iphone youre comparing bit laggy lowkey stressful everyday use think upgrade time,Neutral
I get hacked and stalked like insane on my original IPhone which was bought in Austria. It is a 2022 Iphone SE.,2025-12-24,get hacked stalked like insane original iphone bought austria iphone se,get hacked stalked like insane original iphone bought austria iphone se,Negative
jailbreak to use apps for free? no thanks i stay with android,2025-12-24,jailbreak use apps free thanks stay android,jailbreak use apps free thanks stay android,Positive
"I was locked for base 17 but now I’m seeing comparison videos of 17 zoomed photos and 17 Pro zoomed photos and that telephoto camera really makes a difference. Also night time photos look better on Pro. I like taking pictures when I’m travelling or few videos when I’m at concert and I tend to use zoom way more than ultrawide. For the reference I have base 11 and I still think those cameras hold up but zoom and night time photos just suck. Slightly bigger battery, vapor chamber and slightly better processor is good as well but basically I only need telephoto camera from Pro but is it worth it extra 300.. need to decide until next weekend when imma go buy either 17 or 17 Pro.",2025-12-24,locked base im seeing comparison video zoomed photo pro zoomed photo telephoto camera really make difference also night time photo look better pro like taking picture im travelling video im concert tend use zoom way ultrawide reference base still think camera hold zoom night time photo suck slightly bigger battery vapor chamber slightly better processor good well basically need telephoto camera pro worth extra need decide next weekend imma go buy either pro,locked base im seeing comparison video zoomed photo pro zoomed photo telephoto camera really make difference also night time photo look better pro like taking picture im travelling video im concert tend use zoom way ultrawide reference base still think camera hold zoom night time photo suck slightly bigger battery vapor chamber slightly better processor good well basically need telephoto camera pro worth extra need decide next weekend imma go buy either pro,Neutral
Comparing 13 to a 17 bro? Waste of my time,2025-12-24,comparing bro waste time,comparing bro waste time,Negative
Traded in my 13 Pro Max and got $320 off a 512GB iPhone 17. Very happy with it.,2025-12-24,traded pro max got gb iphone happy,traded pro max got gb iphone happy,Positive
iPhone 8 Plus with 64GB️ did order a 17 though,2025-12-24,iphone plus gb order though,iphone plus gb order though,Neutral
I just upgraded from a 13 mini lol so perfect.,2025-12-24,upgraded mini lol perfect,upgraded mini lol perfect,Positive
"The only thing stopping me is the regular 17 cannot shoot RAW, nor the JPEG-XL format.",2025-12-24,thing stopping regular cannot shoot raw jpegxl format,thing stopping regular cannot shoot raw jpegxl format,Negative
"I have an iphone 15 pro and the battery is SO freaking bad, and I hate it for that reason",2025-12-24,iphone pro battery freaking bad hate reason,iphone pro battery freaking bad hate reason,Negative
3 months is NOT long term,2025-12-24,month long term,month long term,Neutral
Just got the 17 from the 13.  The 120hz refresh rate on the base model really sold me,2025-12-24,got hz refresh rate base model really sold,got hz refresh rate base model really sold,Negative
Every 2/3 years is a good sweet spot for updating. It’s really every 3 generations. So 14 to 17 is a huge jump. I’m gonna upgrade to 17 pro soon. I’m on 14 pro.,2025-12-24,every year good sweet spot updating really every generation huge jump im gonna upgrade pro soon im pro,every year good sweet spot updating really every generation huge jump im gonna upgrade pro soon im pro,Positive
I upgraded to the 17 from the 14 & love it,2025-12-24,upgraded love,upgraded love,Positive
I was thinking about upgrading my iPhone 13 Pro to the 17 base model but I am thinking about just waiting 1 more year for the 18 version and upgrading then.,2025-12-24,thinking upgrading iphone pro base model thinking waiting year version upgrading,thinking upgrading iphone pro base model thinking waiting year version upgrading,Negative
Clearly explained the only ones required. Thanks :),2025-12-24,clearly explained one required thanks,clearly explained one required thanks,Positive
"11:40, while the storage argument is valid if you only buy new, people should seriously consider buying used for big local storage upgrades.

Also, definitely worth considering getting an old mac mini or macbook and just using it as a backup computer with phone data and photo backups. like a $100 2015 macbook pro with 256-512gb of fast storage to offload pics, instead of paying $100 extra to go from a used base 15 Pro Max to a 1TB 15 pro max, for instance.

Also, worth considering getting a used 15 pro or pro max instead of the 17. But i get it if you just prefer new. Just imo, I'd rather have the pro phone, 3 cameras, all for $200-300 less.",2025-12-24,storage argument valid buy new people seriously consider buying used big local storage upgrade also definitely worth considering getting old mac mini macbook using backup computer phone data photo backup like macbook pro gb fast storage offload pic instead paying extra go used base pro max tb pro max instance also worth considering getting used pro pro max instead get prefer new imo id rather pro phone camera less,storage argument valid buy new people seriously consider buying used big local storage upgrade also definitely worth considering getting old mac mini macbook using backup computer phone data photo backup like macbook pro gb fast storage offload pic instead paying extra go used base pro max tb pro max instance also worth considering getting used pro pro max instead get prefer new imo id rather pro phone camera less,Neutral
"Coming from the base 15 to the 17 pro, there’s a notable upgrade. So I would say even 2 years you’re going to get a decent upgrade",2025-12-24,coming base pro there notable upgrade would say even year youre going get decent upgrade,coming base pro there notable upgrade would say even year youre going get decent upgrade,Neutral
"15 pro is fake,with 15 pro 100% battery health i had 6 hours with wifi and 2 and a half with 5g",2025-12-24,pro fakewith pro battery health hour wifi half g,pro fakewith pro battery health hour wifi half g,Negative
"I'm still using my iPhone X, one of the best looking phones ever",2025-12-24,im still using iphone x one best looking phone ever,im still using iphone x one best looking phone ever,Positive
"I have the 17 in black, looooove this phone! My first time getting the baseline model from this line and i'm impressed! coming from
someone who always usually get the pro max.",2025-12-24,black looooove phone first time getting baseline model line im impressed coming someone always usually get pro max,black looooove phone first time getting baseline model line im impressed coming someone always usually get pro max,Positive
"It's good but I'm not comfortable with its size at all 
I wish i got the pro max but it's expensive to me",2025-12-24,good im comfortable size wish got pro max expensive,good im comfortable size wish got pro max expensive,Positive
4:39 proof xD,2025-12-24,proof xd,proof xd,Neutral
"I upgraded from XS Max to iPhone 17. 3 weeks of using it. 
I don't know if getting 16 Pro is way better or iPhone 17. They're basically the same price here in my country in 256gb with low cc count
Any thoughts if 16 pro is better? I like Portrait mode",2025-12-24,upgraded x max iphone week using dont know getting pro way better iphone theyre basically price country gb low cc count thought pro better like portrait mode,upgraded x max iphone week using dont know getting pro way better iphone theyre basically price country gb low cc count thought pro better like portrait mode,Positive
I have an iPhone 11 Pro Max 256 other than getting a new $99 battery from Apple. It still is perfect. I don’t see anything wrong with it.,2025-12-24,iphone pro max getting new battery apple still perfect dont see anything wrong,iphone pro max getting new battery apple still perfect dont see anything wrong,Positive
1:54 Trust me yall are not missing out on apple intelligence,2025-12-24,trust yall missing apple intelligence,trust yall missing apple intelligence,Negative
Hi recently purchased iPhone 17 and after 32 cycle counts my battery health reduced to 99% and my battery charging limit is up to 80.,2025-12-24,hi recently purchased iphone cycle count battery health reduced battery charging limit,hi recently purchased iphone cycle count battery health reduced battery charging limit,Neutral
17 still lacks in battery life and no telephoto camera. Even the Air lasts longer than the base 17.,2025-12-24,still lack battery life telephoto camera even air last longer base,still lack battery life telephoto camera even air last longer base,Negative
I love my orange 17 Pro Max.,2025-12-24,love orange pro max,love orange pro max,Positive
im still rocking an iphone 6s plus with horrible battery life (68%),2025-12-24,im still rocking iphone plus horrible battery life,im still rocking iphone plus horrible battery life,Negative
Watching this from my iPhone 17 black  coming from a 13 base green,2025-12-24,watching iphone black coming base green,watching iphone black coming base green,Negative
What a great and refreshing way to start the topic.. great work,2025-12-24,great refreshing way start topic great work,great refreshing way start topic great work,Positive
i too upgraded from 13 to 17,2025-12-24,upgraded,upgraded,Neutral
Google Pixel sadly has way worse Price-Performance right now,2025-12-24,google pixel sadly way worse priceperformance right,google pixel sadly way worse priceperformance right,Negative
"It's worth uprigade at every angle from 13 to 17 ,currently  using 13PM am  with 77BH looking forward on S26U then i'll decide either 17PM au S26U",2025-12-24,worth uprigade every angle currently using pm bh looking forward su ill decide either pm au su,worth uprigade every angle currently using pm bh looking forward su ill decide either pm au su,Neutral
"I agree that the iPhone 13 lacks several features, which is understandable. However, if the iPhone 13 doesn’t meet your expectations, it’s time to consider replacing it.",2025-12-24,agree iphone lack several feature understandable however iphone doesnt meet expectation time consider replacing,agree iphone lack several feature understandable however iphone doesnt meet expectation time consider replacing,Neutral
"How the heck are 3 months ""long term""?",2025-12-24,heck month long term,heck month long term,Neutral
People with ADHD would notice and love it,2025-12-24,people adhd would notice love,people adhd would notice love,Positive
"interesting comparison, thanks. just a small thing, but if you pay for applecare for your phone, it's worth getting the battery replaced when it has seriously degraded. costs nothing and is an easy way to utilise all those monthly direct debit payments for the policy. i did it with my 13 mini and it totally gave the phone a new lease of life for an extra ~1.5 years. i think in most people's phone life-cycle, that's a respectable extension!",2025-12-24,interesting comparison thanks small thing pay applecare phone worth getting battery replaced seriously degraded cost nothing easy way utilise monthly direct debit payment policy mini totally gave phone new lease life extra year think people phone lifecycle thats respectable extension,interesting comparison thanks small thing pay applecare phone worth getting battery replaced seriously degraded cost nothing easy way utilise monthly direct debit payment policy mini totally gave phone new lease life extra year think people phone lifecycle thats respectable extension,Positive
I got the XR to broke for another phone,2025-12-24,got xr broke another phone,got xr broke another phone,Neutral
